Time, AT 
2025-10-29 01:00:00,-4.2 
2025-10-29 04:00:00,-4.1 
2025-10-29 05:00:00,-4.0 
2025-10-29 07:00:00,-3.5 
2025-10-29 10:00:00,-2.4 
2025-10-29 13:00:00,-2.0 
2025-10-29 19:00:00,0.9 
2025-10-29 21:00:00,1.0 
2025-10-29 22:00:00,0.8 
2025-10-29 23:00:00,-0.6 
2025-10-30 01:00:00,-1.2 
2025-10-30 06:00:00,-0.5 
2025-10-30 08:00:00,0.1 
2025-10-30 10:00:00,-0.1 
2025-10-30 11:00:00,-0.1 
2025-10-30 13:00:00,-2.1 
2025-10-30 15:00:00,-2.9 
2025-10-30 19:00:00,-0.2 
2025-10-30 20:00:00,0.1 
2025-10-30 21:00:00,0.4 
2025-10-30 22:00:00,1.0 
2025-10-30 23:00:00,0.7 
2025-10-31 03:00:00,-0.1 
2025-10-31 08:00:00,-0.4 
2025-10-31 09:00:00,0.2 
2025-10-31 10:00:00,0.6 
2025-10-31 13:00:00,-0.3 
