Time, Temp[c] 
2025-10-27 13:00:00,-6.7 
2025-10-27 16:00:00,-7.1 
2025-10-27 23:00:00,-1.7 
2025-10-28 03:00:00,-3.4 
2025-10-28 04:00:00,-3.5 
2025-10-28 06:00:00,-4.8 
2025-10-28 10:00:00,-5.2 
2025-10-28 16:00:00,-4.9 
2025-10-28 22:00:00,-4.2 
2025-10-29 01:00:00,-4.2 
2025-10-29 04:00:00,-4.1 
2025-10-29 05:00:00,-4.0 
2025-10-29 07:00:00,-3.5 
2025-10-29 10:00:00,-2.4 
2025-10-29 13:00:00,-2.0 
2025-10-29 19:00:00,0.9 
2025-10-29 21:00:00,1.0 
2025-10-29 22:00:00,0.8 
2025-10-29 23:00:00,-0.6 
2025-10-30 01:00:00,-1.2 
